comment,rating
tidak bisa buka apk tolong di bantu dongg,1
oke,5
kembalikan filter'jj di ig,1
aplikasi 🤮,1
ketika diinstal ulang kenapa ya koq mau unggah postingan lagunya gak tersedia. instastory juga sama seperti ini🙄,3
bagus,5
Nice medsos,5
very very good,5
aplikasinya sangat bagus,5
sangat bagus,5
error,2
parkir,5
aplikasinya udah baguss tapi tolong dikembangin lagii karena story arsipan ig kalo selang beberapa bulan itu resolusinya turun bahkan ga bisa ke play videonya. banyak orang yang nyimpen foto buat kenangan disana tapi malah resolusinya makin lama makin jelek,5
informasi nya sangat bermanfaat,5
pengalaman saya di Instagram ini baik,5
Bagus sekali,5
sangat baik,5
tiba2 keluar ngebug,1
bagusssssssssssssss,5
ini gimana sih cara cek postingan di fitur tidak tertariknya?? nyusahin aja kalo kepencet truz postingan orang lain hilang.,2
mantap,5
tolong kembalikan filter jj,3
sgt mendukung dan memuaskan.,5
kereeeenn,5
tidak bisa menyiarkan siaran langsung. karna ada syarat tidak memenuhi syarat . kenapa ya instagram inii,1
mohon klo misalnya kita cri filter harus ada,5
"[UPDATE BUG] Ketika kita ingin melihat caption panjang dengan mengKlik ""selengkapnya"" sering not respon, bahkan sudah di klik berulang2 masih aja sama, sudah saya restart aplikasi tapi masih aja sama, fitur doang di kembangkan tapi Bug dan lainnya tidak di perbaiki.",1
susah nyari filter udh di apus,3
"Woy min ini knp dah IG gw gak bisa masuk ke akun gw udah 4 hari nih gak bisa masuk yang bener lah, semenjak update jadi gini!!!!!!!!!!!!!!!!😡😡😡😡",2
sangat baik,5
mantap,5
req ada fitur bintangin dm dong nanti gw kasih ceban,3
bagus sekali fiturnya,5
mantap kasihh akuu feedback,5
sangat bagus,5
yang lain aplikasi lancar.,1
SANGAT KEREN UNTUK SOSMED SKRNG,4
sudah ok tinggal kembangin lagi biar mantap,5
mantap,1
aneh bug di hp ku,1
keluar sendiri bug,1
~🎗️IS THE BEST (⁠✯✯✯✯✯⁠)🎗️~,5
"sip lah tapi tolong bug yang tiba"" scroll sendiri hilangin yaa",5
kenapa ya dari kemarin pukul 17.00 gabisa buka ig setiap mau masuk ke aplikasi malah keluar atau bisa di sebut force close kadang ngestuck di logo instagram bagaimana ya cara membenarkannya?? sangat merepotkan,1
fitur fitur Ig Terbaru ngak ada padahal udah lapar ke 3 kalinyaa udh nunggu lama lagii tolong lh admin periksa Ig : _jeffry06,1
saya sangan senang dengan intagram,5
nambah kan saya followers,2
marantap,5
aku suka ini dan vidio nya,5
SUMPAH MASA EKSPLORE ISINYA BL SEMUA (GAY) UDAH DI REPORT TAPI TTP MUNCUL HIH GELEUH,3
"akhir"" ini instagram kok ga bisa di buka ya apk nya, setiap mau buka apk nya selalu keluar sendiri dan harus di uninstall lalu di install kembali bru bisa dibuka, tapi setelah itu akan begitu lagi, kdnpa ya?",3
Gabut woooy,5
❤️,5
tolong di peluncuran sistem di percepat dan permudah aplikasi cukup relate bagus😜🖐️,5
"ini gimana ya, kenapa selalu bug. batu pencet ikon ig, udah keluar, dikasi pemberitahuan ada bug. udah laporkan beberapa kali, ga ada pembenaran. saya tanya teman, apakah terjadi hal yang sama, ternyata tidak. akhirnya saya main ig dengan cara download, login, main, keluar, mau main lagi ga bisa perlu uninstall, download lagi, login lagi, begitu mulu. tolong beri saya solusi!",3
buaguuusss beettt lovvvv,5
SANGAT BAGUS,5
"GA BISA LOGIN, MASUK KE APLIKASINYA AJA GA BISA SAMA SEKALI CIUH",1
"Bad!! Instagram semakin kesini sistem nya semakin buruk, saya ingin login dan semua data yang saya masukan sudah benar, ini malah akun tidak ditemukan/Kata sandi salah. Lalu saya klik pencarian dengan nomor telepon ada akun saya, lalu saya klik dapatkan kode, eh malah akun tidak ditemukan!!Sangat Jelek! Burukk!! Semoga saja bangkrut..",1
"sangat menyenangkan,menarik,",5
"Saya punya 2 akun instagram, selalu aktif dan setiap hr dibuka. Tapi setelah selesai update instagram, kenapa selalu cuma 1 akun yg terupdate fitur²nya, sedangkan yg 1 nya masih fitur lama. Fitur lain sudah lumayan bagus dan berguna. Filter instagram yg sdh disimpan bnyk yg hilang. Tolong diperbaiki bug²nya, terimakasih🙏🏻",3
sangat memuaskann,5
"ini kenapa jadi gak bisa masuk ke ig? terhenti terus, bener2 di klik pun gak bisa.. di install ulang pun ttp sama aja",2
sangat bagus dan menarik,5
kerenn,4
kerenn😍,5
bagus,5
GK pernah viral 🥺,4
sangat bagus,4
👍,5
good,5
memori kebanyakan woy,1
membantu ummat juga ni apk. bisa bisa kita makenya gimana okey,5
ok,5
udh di update ttep aja ga muncul fitur terbaru nya,4
mantap,5
mantap,5
instagram sekrang kok klu kita mau bagikan ke Whatshap kenapa ribet,4
"min,pesan saya gk muncul notifikasinya",5
bagus,5
kenapa ini ig saya suka keluar sendiri trus klo lagi upd segera betulkan,1
Seru dan menyenangkan,5
mantappp,5
"setelah update terbaru untuk android caption yg panjang kepotong, bisa jadi karena resolusi default diperbesar",1
ini kenapa ya nggak bisa dibuka tolong admin gimana solusinya,2
"bagus sih.. cuma gimana ya saya daritadi nyari tutor biar akun first saya bisa komen story karena akun first saya gabisa, tapi entah di scc malah bisa komen di story, kaya aneh bgt padahal udah saya update tetep gabisa, ini tolongin dong developer gmn caranya biar akun first juga bisa komen story",3
banyak motivasinya buat kita semua,5
baguss dari dulu sampai sekarang,5
"INSTAGRAM UDH RUSAK MAKIN UPDATE MAKIN JELEK tolong dong filter "" saya di kembalikan udh bagus bagus filternya malah hilang banyak bug juga buka kamera leg trus gk mungkin hp saya yang kentang ram hp gde tetap aja leg buka Instagram nih TOLONG PIHAK INSTAGRAM BACA ULASAN ORANG LAIN UPDATE TERUS BUKANNYA MAKIN BAGUS MALAH TAMBAH PARAH",1
"bagus, bagi followers dong 😂",5
tiba tiba tidak bisa menggunakan fitur live instagram,3
good,5
"aku saya yang bernama @nakano_miku123 tidak bisa diloginkan, padahal saya sudah memasang gmail yang benar, tidak seperti akun tiktok saya yang masih bisa diloginkan",1
apk tidak bisa dibuka tidak jelas,1
"aplikasi rusak, gak komentar neko², tiba tiba akun di tangguhkan.",1
pke nanya gk tw gua aja ig,5
sangat bagus vidio dan bayak konte yang bakus² instagram sangat bagus👍🏼⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5
mantap,5
Ayo dong semangat buat hari ini ada apa dengan hari ini ada di depan mata tapi masih ada usaha buat kamu aja yang ikut aja,5
bagus aplikasinya banyak filter nya dan banyak lagi dehh,5
mantabbb,5
baguss bangett ya,5
terima kasih foto yang sangat bagus aku suka aku kasih bintang 5,5
good game sih,5
mantap,5
farel rel,5
oke baik,5
efek ny mkin nyolok dn terlalu norak,4
kayaknya seru kalau di Instagram ada fitur vn pada komentar,5
amazing,5
"Aplikasi nya sangat bagus sekali, namun saya kecewa karna pada akun utama saya tidak dapat menambahkan musik di bio saya, sedangkan akun kedua bisa. Tolong bagaimana mana perbaiki ini pihak Instagram.",4
kereeen,5
"Ini bagus banget sumpah karena walaupun aplikasi nya kita hapus terus kita download lagi akun tetap aman tapi,kalo kalian mau hapus jangan hapus datanya langsung aplikasi nya aja yang di uninstall biar datanya ngga hilang😁😁",5
aplikasi mental terus knapa,1
Saya seneng bisa interaksi di Instagram dan tambah pertemanan,5
berguna bngt,5
menyala,5
"pada liat komentar orang yang bilang sehabis update,aplikasinya malah makin jelek.menurut aku benar sekali,aku pas mau folow akun teman aku malah gak bisa entah kenapa dan diakun lainnya juga gitu, juga kalau nonton sg orang malah terhenti"" gitu padahal jaringan nya bagus banget.mohon dipertinjau lagi instragam perbaharui lagi buat semakin bagus jangan malah gini😔",2
sangat baik,5
THE GOOD SOSMED,5
error' saat d buka. mohon d bantu,5
sngat bgus dn berguna,5
good,3
kenapa ig ku ga bisa dibukak pasti keluar,2
kenapa halaman web tidak tersedia,1
bagus sekali,1
tidak bisa live,4
mantap,4
"Saya senang bermain Instagram,tapi saya kecewa karna akun Instagram saya tidak bisa live, terima kasih",5
mau foto pakai filter tapi muter terus gak ada filter nya nunggu lama bngt knp ya,1
bagus banget,5
oke lah,5
Caranya seperti info dari mas doni sastrawan..... Bisa,5
jos,1
kenapa setiap buka aplikasi instagram langsung force close ter kembali sendiri,1
"APALAHHH MAKIN KESINI MAKIN CEPU IG ANJIRR!! MASA IYA NGE SS KETAHUAN, LIAT SG ULANG ULANG KETAHUAN, LIAT FOTO BEULANG ULANG DIBERI NOTIFIKASI JUGA. MAUNYA APA SII😭😭 GUA JD KETAHUAN SS CHAT SAMA CRUSH BNGKEE😭 ITU JUGA NOTES DI REELS KNP ILANG JUGA? BALIKINN",1
"sorotan harus nya dibikin HD dong, masa sorotan blur gitu, update dong!",1
aplikasinya sudah bagus tetapi ada kendala saat ingin membuat akun baru sehingga saya tidak dapat membuat akun baru tolong ditingkatkan lagi dan pesan di akun saya tidak dapat masuk,5
kenapa sering update Mulu sih,3
"Setelah update baru kenapa sering sekali force close ya.. mau di hapus data baru bisa masuk lg, tp habis itu ga lama malah ga bs masuk lg.. tolong segera diperbaiki lah.. merepotkan sekali..",1
aku g bisa login masuk aku juga malah ilang terus gimana sih ini,1
menginspirasi diri dengan konten konten sport yang ada di instagram,5
tidak bisa lihat terjemahan. text tidak diterjemahkan ketika klik lihat terjemahan.,2
mantap tapi tolong perbaiki masalah yang terjadi saya ingin mengupload foto malah jadi rusak fotonya muncul warna warni sekian,5
lawak,1
cukup baik,5
tolong kasih bisa umur 12 tahun karena aku juga mau download aplikasi ini karena umur ku belum 13 tahun,3
"abis di update malah gabisa dibuka instagramnya, kaya klo dipencet langsung keluar sendiri dan harus di klik beberapa kali baru bisa kebuka",2
Keren,5
🥴😍,5
"saya berikan bintang 5 untuk aplikasi ini sebelumnya, namun sekarang sedikit terganggu/tidak bisa dibuka, ada apa ya ...",5
good,5
Bagus,5
"Perbaiki kesalahan teknis, kau bales dm ke akun yang udah ga dinonaktifkan tapi masih aja ada tulisan ""akun yang dinonaktifkan tidak dapat dihubungi""",3
"bukannya gmna ya cuma plzz bgt apus fitur kirim foto sekali liattt, merugikann banget!!!🙏",1
ok bgs. tp pas update hny untk 1 akun yang sering di pake. akun yg jrg dj pake jd ga ke update. ⭐⭐⭐⭐⭐,5
Good,5
bagus,5
Gk bisa,1
woe reels yg ku like muncul di page nya istriku😭 maaf kukasih bintang satuu aku kena marahh😭😭,1
mantap lah pokone,5
lumayan,5
"apakah ini bug, ram hp 12 tiba2 close sendiri? hbs update...",1
Kenapa ada bacaan coba lagi,5
bagus saya sangat suka cepat untuk menjelajah,5
Sangat Bagus.,5
"bagus, tapi kurang nya klu mau nyimpan foto itu, lagunya jga nggk ikut kesimpen",5
Bagussssssssss,5
perfect,5
bagus sekali,5
bagus banget aplikasi ini saya suka kalian wajib donglod deh,5
"Buka video di instragram kadang bisa, kadang engga bisa",5
"tolong dong ig ny tiba"" nge bug gabisa di buka",2
KERENNNNN,5
gk bisa dibuka,1
Bagus,3
mantap man,5
terima kasih,5
banyak video lucu,3
mantapppp,5
wadudaw😁,5
sangat sangat merosahkan,5
bangus,2
saat saya buka malah force close terus menerus,3
suka,5
👍👍👍👍,2
apa ini Instagram saya di ben tanpa alasan yang masuk akal saya tidak perna memposting yang aneh aneh saya juga jarang main istagram kenapa di ben saya pasang stori orang tua saya aja di ben gak masuk akal kalian,2
Ini kenapa filter instangram ilang semua🥹😭 itu pula yang ilang filter yang bagus 😪,5
smoga bermanfaat buat pemula,5
ga bisa rubah dr akun bisnis ke akun pribadi,1
nge bug,1
ko ig saya nge bug trus si gak bsa di buka tolong perbaiki woy!!!,2
Karena bagus,5
gajelas instagram sekarang,1
soalnya epek nya bagus dan bisa borkomunikasi dengan orang lain,5
making mantap dan memuaskan,5
mantap,5
sangat amat seruuu main ingstagram,5
sangat bangus aplikasi ini,3
terbaik 👍,5
butut,1
Sangat Luar Biasa!!,5
menyenangkan,5
aplikasi nya sangat keren dan bagus,5
aplikasi ini sangat berguna,5
Bagus,5
ok bagus ok,5
keren,5
super,5
kenapa ga bisa kasih like atau emoticon di reels? dihapus karena apa?,1
sangat bgus skli apliksi nya,5
bagusselaliiiiìiìiiiiiiiiiiiiiiiiiii,5
ngebug,1
payah harus pake kode ke wa,1
"A very bad experience, every comment that does not violate the rules is always deleted and thought to violate the rules, so strange, fix your application again",2
MANTAP POOL,5
untuk vidio yg tidak di sarankan dengan klik mata silang mohon bisa di kembalikan lagi ya karna sangat menggagu bila salah klik,5
Nice,5
ok,5
"halo pihak Instagram, hari hari ini ig saya tidak bissa dibuka (force close) langsung keluar jika membuka aplikasi. ketika saya reset aplikasi pun beberapa jam kembali force close lagi tolong diperbaiki",1
senang,4
best of the best for Instagram love you sekebon,5
ok,5
saya tidak bisa login bagaimana,2
apk panasxx,1
bgus,5
Bagus 100 persen 👍,5
jelek bngt najis ngeleg,2
bad.,1
apk yang sangat bagus,5
keren,5
tolong jadikan artis,5
kok GK mau dipencet hati nya sih kayak eror tolong diperbaiki jangan eror LG Napa tolong diperbaiki hati nya supaya bisa dipencet dua kali eror melulu sih tolong diperbaiki,1
aplikasi yang sangat bagus😍🥰🥰,5
4410¹2t di mn 8. 8. 8.,3
ya menyenangkan,5
Aplikasi Penting,5
"Tolong perbaiki bug Instagram di HP Redmi! Saya sebagai pengguna Instagram sangat terganggu dengan adanya bug Instagram, saya sudah melaporkan bug yang terjadi tetapi tidak ada respon perbaikan. Tolong kurangi bug pada Instagram!!",1
cakepp,5
bagus,5
"berat, ponselku mati kalo buka, cuma bisa versi lit aja",4
menyenangkan hati saya,5
Bagus sekali,5
Instagram saya error tidak bisa dibuka,5
"setelah update terbaru aplikasinya tidak bisa dibuka lagi , terus terus an nggak bisa dibukaa",3
sampul nya susah di ganti,3
tingkatkan kualitas yang lebih baik sangat menghibur,4
ok,5
"error terus apknya, penyimpanan padahal masih banyak, gajelas bug nya",1
bis jadi intel sejenak,5
mantab,5
good,5
ga bisa dibuka,1
Instagram memberikan banyak manfaat bagi pengguna di seluruh dunia.,5
bagus bngt mudah,4
bagus sekali,5
bguss bngtt,5
itlya,2
mantap,5
sangat bagus,5
menyenangkan,5
"buruk, tidak bisa meng upload story",1
"tolong dong tambahin fitur repost kayak di tik tok, masa instagram engga dikasih.",4
"cuma minta kalo ngasih fitur itu yang merata, masa dari 1 hp ada 3 akun, yang 1 akun ga pernah kebagian fitur komentar di story. padahal udah lama banget lo muncul di kedua akun yang lain ada 6 bulan lebih. tiap ada update udah ku update, tapi tetep ga muncul tuh fitur komen di story. padahal cuma beda akun, hp nya sama woyyy",3
buat akun saya fyp donk 💕,5
apik🙏🏻,4
top,5
nemu banyak orang yang gua kenal,5
menurut saya instagram sangat bagus,4
repostan yang saya bagikan kenapa jadi tidak ada suaranya yaa..,5
so far not bad,5
"no way 😭, kenapa ku gabisa login ke akun ku min...",5
tidak bisa menambahkan sorotan,1
baguss,5
terus mengunduh,1
cepat respon,4
pliss jangan batasi,5
mantap,5
"rame jn akun ku min, saya masih bintang 5",5
bagussssss pollll,5
kelihatannya bagus tapi belum ku coba hehe 🙏🏻🗿🗿,5
sangat bagus,5
bagus lah pokoknya,5
Mantap,5
sangat bagus aplikasinya saya sukaaa,5
"boleh lah, tapi yang gak enak nya emak gue selalu minta hp cuman buat nonton Instagram 🤦🏻‍♀️",4
kenapa Instagram nya gak bisa ke buka ya,5
"Bugnya gak jelas, saya sudah paksa berhenti, hapus semua data dan cache. Namun hanya bisa selesaikan masalah beberapa saat, tidak sampai sehari aplikasi instagram tidak bisa terbuka lagi / tiba-tiba tertutup saat mau buka aplikasi ini",1
gabisa langganan centang biru,2
sangat bagus sekali ❤️❤️,5
sanggat suka,5
goodddd,5
sangat bagus,5
"tolong balikin menu notes di reels/foto dong, hampa bgt gak ada itu",3
to much cunsuming mobile data!,3
bagus,5
"sudah seminggu bug instagram tidak lekas diperbaiki, sudah banyak laporan yang dikirim namun tidak ada perubahan.",1
YG BELUM INSTAL MENDING GA USAH INSTAL DEH KARNA APK NI GA JELAS GUA CHET CEWEK GAADA YG BALES JIRRR,1
"knpa ig saya tidak bisa masuk padahal tdi lancar"" aja di pake",1
apk lu yg dongo apa hp gw yg kentang msa pas bosen liat stori ga bisa balik ke beranda Halah berak sekebon 🤾,1
good vibes,5
ig debes,5
setelah di perbarui apk selalu keluar sendiri..dan bikin hp tiba tiba reboot senduri..,1
"sering keluar sendiri padahal sinyal bangus, ada apa ini? tolong segera di perbaiki",1
Kurang bagus Tolong di perbaiki,1
ini kenapa si dari kmren gabisa dibuka. klo mau buka selalu ada peringatan bug terus,2
instagram punyaku gabisa dibuka masa!!?,1
Mudah untuk mencari peluang usaha,5
baikk sekalii,5
keceee bisa berkomunikasi,5
sangat bagus,5
"kata2 hr ini welll..pokonya seneng aja berbagi foto dgn sesama temen,kenalan tw orang2 baru di IG....wellll",5
josss,5
bagus sih cuma kenapa malah Polin teks nya harus di hapus katanya karna ga banyak di minati padahal diminati bngt malah di hapus Instragram jadi bingung kan mau ngode gimana lagi padahal seru ninggalin jejak☹️☹️,5
sangat bagus,5
gak suka aja yg,1
mantap,5
mantap,5
"this app kinda broken, i follow gaming topics but what i got is photography topics, would y'all in this industries mind how to fixed up the app or something",1
oke terus slalu sukses,5
bagus,5
memory forever,5
menyalaaa,5
"Saya sangat senang menggunakan aplikasi inii,dan saya sangat terhibur dengan video videonya",5
"baguss,,kerenn tapi aga sedih waktu fitur catatan reels di hapuss padahall berguna bangett huhuu",5
sudah sangat sesuai untuk menyimpan foto dan video,5
aplikasi gblk,1
ig bug,2
"apk bagus, tidak pernah ada bug. minus pencariannya aja yang kurang menarik",5
Instagram dapat memberikan efek positif terhadap penggunanya. apabila ditangan yg tepat.,5
makin lama bug nya makin menjadi jadi,1
kenapa sih gak bisa jadi kesel,1
sangat baguss,5
"Ig ini makin kesini makin banyak iklan. iklan produk barang dll sih gpp cuma ini iklan judol, tolong lah ya udah saya hide tapi masih aja muncul mana iklannya pake model cewek yg bajunya kek j*lang lagi, tolong bet inimah ya.. gw gak suka banget sama iklan yang berbau judi. jadi tolong dikurangin atau di ban iklan judi begituan",2
sangat bagus dan nyaman buat sosial media,5
bagus,5
sangat seru,5
"baguss, tp tidak bisa update",4
bagus,5
mantap,5
Ok,5
KOK ADA IKLAN BOKEP NYA INI ANAK SAYA MASIH DI BAWAH UMUR UDA NGELIAT YG BEGINIAN TOLONG PIHAK IG DI HAPUS IKLAN YG BEGITUAN!!!!!,1
bagus kak,5
seru bisa menghasilkan uang,4
menurut saya instagram adalah aplikasi yang bagus 👍,5
bagus,5
lagi² akun saya gabisa dilogin,1
bagus yaa fitur fitur juga sangat baguss,5
enk jg,5
kok banyak bug ny yaaa,1
mantap saya suka,4
"akun saya tiba2 ke ban, akun lama saya ke ban, buat akun baru lagi ke ban lagi blm ada 1jam maen ig malah di ban trus²an, udh 17x buat akun bru ke ban trs gmna mau pke apk nya cb!!! ksel bnget",1
"ngebug keluar"" sendiri",1
"kepada Instagram atau meta,,,,kenapa pada aplikasi Instagram saya selalu eror,,,mohon untuk diberi arahan",1
good,5
sangat baik,4
bsgus,5
udh 2 hari aplikasinya ngebug terus di hpku. gak bisa dibuka aplikasinya,3
Sipp..,5
"ini kenapa deskripsinya gak full ya abis update apa karna dari tablet? gak masuk akal banget mau baca deskripsi setengah setengah, masa iya harus pindah ke tablet",2
sngtt baik,5
bgus bngt,1
Sangat bagus,5
bgus,5
sangat baguss,5
Terima kasih untuk Aplikasi Meta dan Aplikasi Instagram yang sudah memberikan saya semangat untuk berkarya 🙏🏼👍🏼,5
bagus,5
ga bisa upload foto kalau habis di edit,3
sangat memaskan,5
Cute ❤️,4
cantik sekali,2
"saya butuh tombol bantuan lebih lanjut untuk mengisi formulir, karna akun saya lupa sandi dan nomor hp atau email tidak bisa digunakan, hanya dengan nama pengguna yang bisa",5
Aneh banget akunku. Banyak bgt masuk postingan turkey. Setelah di cek karena tercantum lokasiku lagi di turkey. Padahal ke turkey aja gapernah. Ga ada respon juga niih dari pihak instagramnya. Ga ada solusi buat perbaikannya.,4
"beberapa fitur ada yg kurang memuaskan, saya ingin cek profil yg like komentar orang satu satu tapi saat kembali, kembali nya keluar ke postingan langsung bukan tempat semula filtur like, padahal saya ingin cek profil orang yg like komentar satu satu masa saya terus bulak balik scroll komentar terus, kan capek, gak ada fitur pilihan lain",2
B pung akun dpt bajak,1
Arifa,2
say a,5
sangat menyenangkan,5
"My main account (username ig) always error and rondomly signed out since 27 april 2025, and now its say i cant log in. Please fix it ASAP. T",4
mntap,5
wah sangat bagus,5
tolong saya tidak bisa login ke akun saya sendiri padahal sandi nya tidak di ganti sudah di coba berulang kali namun tetap gagal tolong dong pihak Instagram takut ada yg salah mengunakan akun saya untuk merugikan pihak² lain nya 🙏🏻,1
sangat memuaskan,5
kejo kejo,5
Lama sekali mendownload,5
gak bisa berkata kata lagi karena ini bagus banget ❤️❤️❤️❤️❤️,5
memuaskan,5
👍,5
"my app always force close, cannot open it...",1
lumayan,4
Saia Suka,5
"Ig lagi kenapa si ngebug mulu padahal jaringan lancar banget pas buka tiktok sama Shopee,, kecewa berat",2
masokkkkkkkkkk,5
mengikutinya nambah terus padahal ga ikutin orng tapi mengikutinya nmbah terus,1
ok,5
cokcok,5
sangat bagus saya senang,5
Ok,5
saya buka tidak ada gambar ada tulisan aplikasi tidak tersedia,1
bagus,5
"Hi, saya tidak dapat mengakses authenticator saya dan tidak memiliki kode cadangan. Namun, saya masih memiliki akses ke nomor telepon yang terkait dengan akun saya. Saya ingin meminta bantuan untuk menerima kode recovery melalui SMS ke nomor telepon saya sehingga saya dapat mengakses kembali akun saya. username : rakanadityaofficial",1
aku kasih bintang 4 dulu,4
Mudah bercerita dan berkeluh kesah pada Tuhan,4
butut,1
semoga lebih banyak fiturnya,5
kenapa tidak bisa mengaktifkan kembali akun yg dinonaktifkan? hilang akunnya,3
bagus,5
instagram nya gak bisa di buka,2
"makin di update makin ga jelas, setiap scroll video macet"" sendiri",3
sangat bagus 🤗🤗🤗❤️❤️🤗🤗🤗🤗🤗🤗🤗🤗❤️❤️❤️❤️❤️❤️,5
Sangat seneng,5
"kemajuan pesat, sekrang lebih bagus dari sebelumnya..",5
nice,5
ga bisa di instal anj,1
tidak bisa follow # di Instagram Versi baru dan tidak mendapatkan postingan terbaru tentang # mohon di perbaiki.,1
😎💯✅,5
bug teruss,1
"udah di update tp music yg di bio profil ttp ga di tampilkan, mohon perbaikan nya pak",1
Banyak bat iklan slot yang sesat pada lewat. Kalo udah gak ada iklan slot gw kasih rate 5. dan jangan kasih iklan di reels anj. gw kira konten orang gaktau nya cuman iklan gak guna,1
"iklan banyak entah dari status, reels, maupun postingan...",1
ga ada musik nya,3
sangat puas,5
sangat bagus dan baik akan tetapi terkadang saya sulit membuka aplikasi ini,4
"i wwww awal tygggyyyy ree,",1
"bisa ga si kalau up sg jangan ""kesalahan"" AK LAGI ULTAH ANZINK AK MAU REPOST SG TMN AK, PLS IG GAUSA GTU KOCAK, JELEK BGT ELAH🤢🤢🤢🤢",1
Waktu adalah pengingat bahwa hidup ini selalu berharga,5
Bagus,5
"tdk bs buka aplikasi, sdh instal ulang normal sementara, tapi eror lg tdk bs dibuka kembali",1
mantap,5
good aplication,5
mantap,5
bagus pertahankan terus dan slalu ditingkatkan,5
baik,4
"Sangat buruk, sok² an menghapus akun, menonaktifkan akun dengan sendirinya padahal ada orang yang postingannya berbau negatif dan unsur yang harus disensor tapi tak disensor malah tidak dinonaktifkan akunnya. Kan pilih kasih dan ngeselin",1
baik,5
benerin found nya ngga!!😭,5
All good,5
gbs d buka bbyk pmbaruan,1
"makn hari makin aneh, masak ada fitur tanda silang mata yg bisa bikin hilang konten kita sendiri / fitur yg tidak suka pada konten kita sendiri, dan tanda itu ditaruh dibawah tanda share/tanda pesawat",1
foto yang diunggah jadi kurang jelas,4
suka force close sendiri ndak jelas,1
jangkauan luas untuk mengembangkan diri,5
